序号,名称,成交日期,区县,区域,小区,建筑年代及风格,总价,单价,面积,户型,楼型,朝向,URL
1,重兴园2室1厅87.66平米,2017.01.01链家成交,石景山,鲁谷,重兴园,2003年建塔楼,408,46543,87.66,2室1厅,平层,南西北,http://bj.lianjia.com/chengjiao/101101007681.html
2,裕中西里1室1厅42.6平米,2017.01.01链家成交,西城,马甸,裕中西里,1989年建板楼,589,138263,42.6,1室1厅,平层,南,http://bj.lianjia.com/chengjiao/101100994535.html
3,龙泉花园2室1厅64.21平米,2017.01.01链家成交,门头沟,城子,龙泉花园,1996年建板楼,234,36443,64.21,2室1厅,平层,南北,http://bj.lianjia.com/chengjiao/101100962338.html
4,天通西苑二区2室1厅81.9平米,2017.01.01链家成交,昌平,天通苑,天通西苑二区,2002年建板楼,362,44200,81.9,2室1厅,平层,南北,http://bj.lianjia.com/chengjiao/101100981570.html
5,如意里1室1厅42.3平米,2017.01.01链家成交,西城,新街口,如意里,1991年建板楼,474,112057,42.3,1室1厅,平层,东,http://bj.lianjia.com/chengjiao/101100967256.html
6,工体东路3室1厅65.75平米,2017.01.01链家成交,朝阳,东大桥,工体东路,1976年建板楼,500,76046,65.75,3室1厅,平层,南北,http://bj.lianjia.com/chengjiao/101100654771.html
7,明天第一城7号院1室1厅70.08平米,2017.01.01链家成交,昌平,立水桥,明天第一城7号院,2007年建板塔结合,273,38955,70.08,1室1厅,平层,东南,http://bj.lianjia.com/chengjiao/101101007077.html
8,科研楼2室1厅60.08平米,2017.01.01链家成交,石景山,苹果园,科研楼,1991年建板楼,257,42776,60.08,2室1厅,平层,南北,http://bj.lianjia.com/chengjiao/101101023335.html
9,东王庄2室1厅61平米,2017.01.01链家成交,海淀,五道口,东王庄,1995年建板楼,479,78525,61,2室1厅,平层,东西,http://bj.lianjia.com/chengjiao/101100341856.html
10,保利罗兰香谷3室2厅93平米,2017.01.01链家成交,昌平,海淀北部新区,保利罗兰香谷,2012年建板楼,430,46237,93,3室2厅,暂无数据,南西北,http://bj.lianjia.com/chengjiao/101100455263.html
11,金星小区2室1厅57.39平米,2017.01.01链家成交,朝阳,定福庄,金星小区,1985年建板楼,286,49834,57.39,2室1厅,平层,南北,http://bj.lianjia.com/chengjiao/101100946319.html
12,砖角楼北里2室1厅66.63平米,2017.01.01链家成交,东城,和平里,砖角楼北里,1987年建板楼,426,63935,66.63,2室1厅,平层,南北,http://bj.lianjia.com/chengjiao/101101003477.html
13,北京人家2室1厅93.11平米,2017.01.01链家成交,昌平,回龙观,北京人家,2004年建板塔结合,442.8,47557,93.11,2室1厅,平层,南北,http://bj.lianjia.com/chengjiao/101100967109.html
14,首开国风美仑3室1厅90.72平米,2017.01.01链家成交,通州,通州其它,首开国风美仑,板楼,320,35273,90.72,3室1厅,平层,南北,http://bj.lianjia.com/chengjiao/101100944741.html
15,裕中西里2室1厅54.2平米,2017.01.01链家成交,西城,马甸,裕中西里,1984年建板楼,695,128229,54.2,2室1厅,暂无数据,东南,http://bj.lianjia.com/chengjiao/101100798206.html
16,金隅康惠园2室1厅72.82平米,2017.01.01链家成交,朝阳,双桥,金隅康惠园,2010年建塔楼,280,38451,72.82,2室1厅,平层,南西北,http://bj.lianjia.com/chengjiao/101100983378.html
17,融泽嘉园1室1厅63平米,2017.01.01链家成交,昌平,回龙观,融泽嘉园,2014年建板塔结合,349,55397,63,1室1厅,平层,东南,http://bj.lianjia.com/chengjiao/101100909000.html
18,西城晶华2室2厅116.41平米,2017.01.01链家成交,西城,金融街,西城晶华,2008年建板塔结合,1600,137445,116.41,2室2厅,暂无数据,南西,http://bj.lianjia.com/chengjiao/101100679065.html
19,建新北区2室1厅52.31平米,2017.01.01链家成交,顺义,顺义城,建新北区,1983年建板楼,245.5,46932,52.31,2室1厅,平层,南,http://bj.lianjia.com/chengjiao/101101005289.html
20,天通苑本五区3室1厅160平米,2017.01.01链家成交,昌平,天通苑,天通苑本五区,2000年建板楼,555,34688,160,3室1厅,平层,南北,http://bj.lianjia.com/chengjiao/101100850750.html
21,北京像素南区1室0厅53.71平米,2017.01.01链家成交,朝阳,常营,北京像素南区,2012年建板塔结合,170,31651,53.71,1室0厅,平层,北,http://bj.lianjia.com/chengjiao/101100774504.html
22,梧桐苑知秋园3室1厅89.87平米,2017.01.01链家成交,门头沟,门头沟其它,梧桐苑知秋园,2013年建板楼,390,43396,89.87,3室1厅,平层,南北,http://bj.lianjia.com/chengjiao/101100912067.html
23,仓上小区1室1厅60.86平米,2017.01.01链家成交,顺义,顺义城,仓上小区,1992年建板楼,218,35820,60.86,1室1厅,平层,南北,http://bj.lianjia.com/chengjiao/101100270695.html
24,龙腾苑五区3室1厅131.22平米,2017.01.01链家成交,昌平,回龙观,龙腾苑五区,2003年建板楼,505,38485,131.22,3室1厅,暂无数据,南北,http://bj.lianjia.com/chengjiao/101100689110.html
25,皂君东里2室1厅57.24平米,2017.01.01链家成交,海淀,皂君庙,皂君东里,1994年建板楼,508,88749,57.24,2室1厅,暂无数据,南北,http://bj.lianjia.com/chengjiao/101101014017.html
26,领秀新硅谷2号院2室2厅123.01平米,2017.01.01链家成交,海淀,西二旗,领秀新硅谷2号院,2008年建板楼,1016,82595,123.01,2室2厅,平层,南北,http://bj.lianjia.com/chengjiao/101100898236.html
27,小悦城中心1室1厅38.5平米,2017.01.01链家成交,朝阳,朝青,小悦城中心,2012年建,252,65455,38.5,1室1厅,暂无数据,南,http://bj.lianjia.com/chengjiao/101100918312.html
28,天通西苑一区3室2厅159.8平米,2017.01.01链家成交,昌平,天通苑,天通西苑一区,2001年建板楼,550,34418,159.8,3室2厅,平层,南北,http://bj.lianjia.com/chengjiao/101100767912.html
29,西坝河东里2室1厅57.09平米,2017.01.01链家成交,朝阳,西坝河,西坝河东里,1984年建板楼,416,72867,57.09,2室1厅,平层,南北,http://bj.lianjia.com/chengjiao/101101004200.html
30,佳和园新区2室1厅107平米,2017.01.01链家成交,大兴,旧宫,佳和园新区,2001年建板楼,452,42243,107,2室1厅,平层,南北,http://bj.lianjia.com/chengjiao/101100978215.html
31,东四二条11号院2室1厅56.97平米,2017.01.01链家成交,东城,东四,东四二条11号院,1985年建板楼,625,109707,56.97,2室1厅,平层,南北,http://bj.lianjia.com/chengjiao/101100964099.html
32,红星北里2室1厅81.08平米,2017.01.01链家成交,丰台,和义,红星北里,1997年建板楼,340,41934,81.08,2室1厅,平层,南北,http://bj.lianjia.com/chengjiao/101100825671.html
33,南平里3室1厅73.88平米,2017.01.01链家成交,朝阳,首都机场,南平里,1987年建板楼,303,41012,73.88,3室1厅,暂无数据,南北,http://bj.lianjia.com/chengjiao/101101022451.html
34,政馨园一区1室0厅45.46平米,2017.01.01链家成交,丰台,宋家庄,政馨园一区,2003年建板塔结合,275,60493,45.46,1室0厅,平层,北,http://bj.lianjia.com/chengjiao/101100929744.html
35,丽都壹号2室2厅109.7平米,2017.01.01链家成交,朝阳,酒仙桥,丽都壹号,2012年建板楼,842,76755,109.7,2室2厅,平层,南,http://bj.lianjia.com/chengjiao/101100722822.html
36,山水文园三期4室2厅261.96平米,2017.01.01链家成交,朝阳,十里河,山水文园三期,2008年建板楼,1968,75126,261.96,4室2厅,暂无数据,南北,http://bj.lianjia.com/chengjiao/101101026094.html
37,红狮家园2室1厅88.74平米,2017.01.01链家成交,丰台,宋家庄,红狮家园,2010年建板塔结合,530,59725,88.74,2室1厅,暂无数据,南北,http://bj.lianjia.com/chengjiao/101100744310.html
38,富力阳光美园3室1厅88.47平米,2017.01.01链家成交,朝阳,常营,富力阳光美园,2011年建塔楼,429,48491,88.47,3室1厅,平层,西南,http://bj.lianjia.com/chengjiao/101100988824.html
39,昊天温泉家园2室2厅107.19平米,2017.01.01链家成交,房山,良乡,昊天温泉家园,2001年建板楼,258,24069,107.19,2室2厅,平层,南北,http://bj.lianjia.com/chengjiao/101100803201.html
40,中关村南三街3室1厅75.2平米,2017.01.01链家成交,海淀,中关村,中关村南三街,1993年建板塔结合,855,113697,75.2,3室1厅,平层,南西北,http://bj.lianjia.com/chengjiao/101100887467.html
41,清缘东里2室1厅72.43平米,2017.01.01链家成交,海淀,清河,清缘东里,2004年建板楼,496,68480,72.43,2室1厅,平层,东南,http://bj.lianjia.com/chengjiao/101100925346.html
42,昌运宫3室1厅72.6平米,2017.01.01链家成交,海淀,紫竹桥,昌运宫,1984年建塔楼,547.8,75455,72.6,3室1厅,平层,东北,http://bj.lianjia.com/chengjiao/101101023610.html
43,永达逸家2室1厅92平米,2017.01.01链家成交,海淀,田村,永达逸家,2004年建板塔结合,618,67174,92,2室1厅,平层,西北,http://bj.lianjia.com/chengjiao/101100394537.html
44,和义东里三区2室1厅59.84平米,2017.01.01链家成交,丰台,和义,和义东里三区,1985年建板楼,275,45956,59.84,2室1厅,平层,南北,http://bj.lianjia.com/chengjiao/101100998802.html
45,劲松四区3室1厅71.9平米,2017.01.01链家成交,朝阳,劲松,劲松四区,1977年建板楼,385,53547,71.9,3室1厅,平层,南北,http://bj.lianjia.com/chengjiao/101101010761.html
46,老山西里2室1厅50.47平米,2017.01.01链家成交,石景山,老山,老山西里,1982年建板楼,289,57262,50.47,2室1厅,平层,南北,http://bj.lianjia.com/chengjiao/101100698650.html
47,枣营北里3室1厅89平米,2017.01.01链家成交,朝阳,农展馆,枣营北里,1992年建塔楼,660,74157,89,3室1厅,平层,南北,http://bj.lianjia.com/chengjiao/101100832471.html
48,鑫兆雅园北区1室1厅55.85平米,2017.01.01链家成交,丰台,刘家窑,鑫兆雅园北区,2003年建板楼,376,67323,55.85,1室1厅,平层,西北,http://bj.lianjia.com/chengjiao/101100849741.html
49,@北京2室1厅58平米,2017.01.01链家成交,燕郊,燕郊城区,@北京,2012年建板塔结合,185,31897,58,2室1厅,暂无数据,南,http://bj.lianjia.com/chengjiao/101100984814.html
50,小黄庄一区2室1厅63.81平米,2017.01.01链家成交,东城,安贞,小黄庄一区,1990年建板塔结合,567,88858,63.81,2室1厅,平层,南,http://bj.lianjia.com/chengjiao/101100767011.html
51,红庙北里2室1厅54.79平米,2017.01.01链家成交,朝阳,红庙,红庙北里,1982年建板楼,363,66253,54.79,2室1厅,平层,南北,http://bj.lianjia.com/chengjiao/101100558905.html
52,德胜门西大街64号2室1厅64.7平米,2017.01.01链家成交,西城,新街口,德胜门西大街64号,1983年建板楼,658,101700,64.7,2室1厅,平层,南北,http://bj.lianjia.com/chengjiao/101100959033.html
53,世茂奥临花园3室2厅198.98平米,2017.01.01链家成交,朝阳,奥林匹克公园,世茂奥临花园,2008年建板塔结合,1600,80410,198.98,3室2厅,平层,南北,http://bj.lianjia.com/chengjiao/101100793775.html
54,福城上上城五期2室2厅96.18平米,2017.01.01链家成交,燕郊,燕郊城区,福城上上城五期,2009年建板楼,242,25161,96.18,2室2厅,暂无数据,南北,http://bj.lianjia.com/chengjiao/101100873453.html
55,久敬佳园三区2室2厅88.76平米,2017.01.01链家成交,丰台,和义,久敬佳园三区,2006年建板楼,447,50361,88.76,2室2厅,平层,南北,http://bj.lianjia.com/chengjiao/101100963892.html
56,润泽悦溪2室1厅89平米,2017.01.01链家成交,朝阳,北苑,润泽悦溪,2010年建板楼,740,83146,89,2室1厅,平层,南北,http://bj.lianjia.com/chengjiao/101100757182.html
57,明天第一城7号院1室1厅53.81平米,2017.01.01链家成交,昌平,立水桥,明天第一城7号院,2007年建板塔结合,215,39955,53.81,1室1厅,平层,南北,http://bj.lianjia.com/chengjiao/101100921904.html
58,定福庄南里3号院2室1厅53.5平米,2017.01.01链家成交,朝阳,定福庄,定福庄南里3号院,1981年建板楼,292.3,54636,53.5,2室1厅,平层,南北,http://bj.lianjia.com/chengjiao/101100857675.html
59,都市心海岸3室2厅194.66平米,2017.01.01链家成交,朝阳,望京,都市心海岸,2003年建板塔结合,960,49317,194.66,3室2厅,平层,南北,http://bj.lianjia.com/chengjiao/101100670232.html
60,富华家园2室1厅98.48平米,2017.01.01链家成交,朝阳,高碑店,富华家园,2003年建板塔结合,430,43664,98.48,2室1厅,平层,东南,http://bj.lianjia.com/chengjiao/101100998388.html
61,永乐西区2室1厅59.42平米,2017.01.01链家成交,石景山,鲁谷,永乐西区,1992年建板楼,310,52171,59.42,2室1厅,平层,南北,http://bj.lianjia.com/chengjiao/101100997292.html
62,燕北园1室1厅41.9平米,2017.01.01链家成交,海淀,颐和园,燕北园,1995年建板楼,360,85919,41.9,1室1厅,平层,东西,http://bj.lianjia.com/chengjiao/101100611183.html
63,慧忠北里3室1厅97.87平米,2017.01.01链家成交,朝阳,亚运村,慧忠北里,1998年建塔楼,648,66210,97.87,3室1厅,暂无数据,西南,http://bj.lianjia.com/chengjiao/101100813535.html
64,万年花城四期2室2厅87.27平米,2017.01.01链家成交,丰台,玉泉营,万年花城四期,2008年建板楼,543,62221,87.27,2室2厅,平层,东西,http://bj.lianjia.com/chengjiao/101100604324.html
65,长安新城一区3室2厅111.18平米,2017.01.01链家成交,丰台,青塔,长安新城一区,2006年建塔楼,542.5,48795,111.18,3室2厅,平层,南东北,http://bj.lianjia.com/chengjiao/101101012403.html
66,扬州水乡2室1厅104.95平米,2017.01.01链家成交,朝阳,豆各庄,扬州水乡,2004年建板楼,420,40019,104.95,2室1厅,平层,南北,http://bj.lianjia.com/chengjiao/101100802082.html
67,曙光西里2室1厅61.01平米,2017.01.01链家成交,朝阳,三元桥,曙光西里,1982年建板楼,455,74578,61.01,2室1厅,平层,南,http://bj.lianjia.com/chengjiao/101100738053.html
68,明源南里2室1厅56.69平米,2017.01.01链家成交,房山,良乡,明源南里,1984年建板楼,158,27871,56.69,2室1厅,暂无数据,南北,http://bj.lianjia.com/chengjiao/101101024187.html
69,中国铁建国际城2室1厅81平米,2017.01.01链家成交,朝阳,北苑,中国铁建国际城,2011年建板楼,658,81235,81,2室1厅,平层,南,http://bj.lianjia.com/chengjiao/101101018357.html
70,中堂1室0厅25.37平米,2017.01.01链家成交,丰台,岳各庄,中堂,2012年建板楼,175.5,69176,25.37,1室0厅,平层,南,http://bj.lianjia.com/chengjiao/101100880367.html
71,双河北里2室2厅92.72平米,2017.01.01链家成交,大兴,黄村中,双河北里,2002年建板楼,333,35915,92.72,2室2厅,平层,南北,http://bj.lianjia.com/chengjiao/101100987167.html
72,格瑞雅居1室0厅42.86平米,2017.01.01链家成交,通州,九棵树(家乐福),格瑞雅居,2004年建板楼,240,55996,42.86,1室0厅,平层,南,http://bj.lianjia.com/chengjiao/101100683442.html
73,碧桂园小区A区2室1厅92.2平米,2017.01.01链家成交,房山,长阳,碧桂园小区A区,2003年建板楼,300,32538,92.2,2室1厅,平层,南北,http://bj.lianjia.com/chengjiao/101101014961.html
