序号,名称,挂牌时间,小区,区县,街区,街道,环路,总价,单价,面积,年代,户型,楼型,朝向,装修,URL
1,天通西苑二区3室1厅485万,2017-01-16,天通西苑二区,昌平,天通苑,, 五至六环,485,35143,138.01,2003年建/塔楼,3室1厅,中楼层/共32层,西南,平层/精装,http://bj.lianjia.com/ershoufang/101101080834.html
2,天通苑本六区2室1厅410万,2017-01-16,天通苑本六区,昌平,天通苑,, 五至六环,410,47143,86.97,2000年建/板楼,2室1厅,高楼层/共6层,南北,平层/其他,http://bj.lianjia.com/ershoufang/101101080777.html
3,清源西里2室1厅450万,2017-01-16,清源西里,大兴,枣园,, 五至六环,450,49522,90.87,1992年建/板楼,2室1厅,高楼层/共6层,南北,其他,http://bj.lianjia.com/ershoufang/101101080708.html
4,惠新里小区2室1厅462万,2017-01-16,惠新里小区,朝阳,惠新西街,, 三至四环,462,77569,59.56,1988年建/板楼,2室1厅,高楼层/共6层,南北,平层/精装,http://bj.lianjia.com/ershoufang/101101080534.html
5,九台庄园4室2厅780万,2017-01-16,九台庄园,昌平,天通苑,, 五至六环,780,50788,153.58,2000年建,4室2厅,下叠别墅/共3层,南北,平层/精装,http://bj.lianjia.com/ershoufang/101101080514.html
6,鼓楼外大街52号2室1厅680万,2017-01-15,鼓楼外大街52号,东城,安定门,, 二至三环,680,103125,65.94,1992年建/板塔结合,2室1厅,中楼层/共11层,西北,简装,http://bj.lianjia.com/ershoufang/101101080379.html
7,北京青年城2室2厅650万,2017-01-15,北京青年城,朝阳,北苑,, 五至六环,650,65419,99.36,2004年建/板楼,2室2厅,中楼层/共6层,南北,平层/精装,http://bj.lianjia.com/ershoufang/101101080377.html
8,保利中央公园3室1厅1500万,2017-01-15,保利中央公园,朝阳,望京,, 四至五环,1500,128173,117.03,2012年建/板楼,3室1厅,高楼层/共18层,南北,平层/精装,http://bj.lianjia.com/ershoufang/101101080311.html
9,林校北里2室1厅249万,2017-01-15,林校北里,大兴,黄村火车站,, 五至六环,249,40000,62.25,1992年建/板楼,2室1厅,高楼层/共6层,东西,精装,http://bj.lianjia.com/ershoufang/101101080293.html
10,贡院九号2室2厅1160万,2017-01-15,贡院九号,东城,建国门内,, 二环内,1160,79420,146.06,2009年建/板塔结合,2室2厅,高楼层/共18层,南北,精装,http://bj.lianjia.com/ershoufang/101101080288.html
11,天通苑中苑2室1厅410万,2017-01-15,天通苑中苑,昌平,天通苑,, 五至六环,410,41240,99.42,2008年建/塔楼,2室1厅,高楼层/共20层,东南,平层/简装,http://bj.lianjia.com/ershoufang/101101080280.html
12,华腾园2室2厅760万,2017-01-15,华腾园,朝阳,劲松,, 三至四环,760,72107,105.4,2003年建/塔楼,2室2厅,低楼层/共24层,东南,精装,http://bj.lianjia.com/ershoufang/101101080240.html
13,正源尚峰尚水2室1厅330万,2017-01-15,正源尚峰尚水,海淀,海淀北部新区,, 五至六环,330,39760,83,2012年建/塔楼,2室1厅,中楼层/共10层,南,精装,http://bj.lianjia.com/ershoufang/101101080192.html
