序号,名称,挂牌时间,小区,区县,街区,街道,环路,总价,单价,面积,年代,户型,楼型,朝向,装修,URL
1,山水华庭2室2厅145万,2017-01-15,山水华庭,洪山,民族大道,, 二至三环,145,15336,94.55,2005年建/板塔结合,2室2厅,高楼层/共6层,南北,精装,http://wh.lianjia.com/ershoufang/104100310474.html
2,两证已办、精装居家阳光小两房诚意出售！,2017-01-15,保利心语七期,洪山,珞狮南路,, 二至三环,122,18115,67.35,2013年建/塔楼,2室2厅,低楼层/共32层,南,精装,http://wh.lianjia.com/ershoufang/104100310378.html
3,波光园二期3室2厅204万,2017-01-15,波光园二期,洪山,武昌火车站,, 一环内,204,16979,120.15,2005年建/板楼,3室2厅,低楼层/共11层,南北,其他,http://wh.lianjia.com/ershoufang/104100310115.html
4,保利城3室2厅180万,2017-01-15,保利城,武昌,徐东,, 一至二环,180,19355,93,2015年建/板楼,3室2厅,高楼层/共33层,东南,其他,http://wh.lianjia.com/ershoufang/104100310028.html
5,保利心语精装南北通透四房，业主急售,2017-01-15,保利心语二期,洪山,珞狮南路,, 二至三环,215,17033,126.23,2007年建/塔楼,4室2厅,高楼层/共18层,南北,精装,http://wh.lianjia.com/ershoufang/104100309913.html
6,双龙小区1室0厅59万,2017-01-15,双龙小区,硚口,汉正街,, 一至二环,59,16187,36.45,2007年建/板楼,1室0厅,高楼层/共12层,南,其他,http://wh.lianjia.com/ershoufang/104100309908.html
7,阳光上城2室2厅140万,2017-01-15,阳光上城,洪山,老南湖,, 二至三环,140,17858,78.4,2014年建/板楼,2室2厅,低楼层/共32层,南,其他,http://wh.lianjia.com/ershoufang/104100309900.html
8,天梨豪园地铁口精装修三层复式小区中间满五年,2017-01-15,天梨豪园,江汉,长港路,, 一至二环,192,12984,147.88,2002年建/塔楼,3室2厅,低楼层/共12层,南,其他,http://wh.lianjia.com/ershoufang/104100309815.html
9,长春小区4室2厅170万,2017-01-15,长春小区,江汉,长港路,, 一至二环,170,10570,160.84,2002年建/板楼,4室2厅,中楼层/共9层,南北,其他,http://wh.lianjia.com/ershoufang/104100309780.html
10,景兰苑3室2厅118万,2017-01-15,景兰苑,江岸,百步亭,, 二至三环,118,13094,90.12,2008年建/板楼,3室2厅,中楼层/共11层,南北,简装,http://wh.lianjia.com/ershoufang/104100309775.html
11,丽华苑2室2厅133万,2017-01-15,丽华苑,武昌,徐东,, 一至二环,133,16386,81.17,2008年建/板楼,2室2厅,高楼层/共18层,南北,其他,http://wh.lianjia.com/ershoufang/104100309762.html
12,南北通透两居室采光好视野开阔适宜居家,2017-01-15,武泰闸花园小区,洪山,武泰闸,, 二至三环,80,10950,73.06,1998年建/板楼,2室1厅,高楼层/共7层,南北,简装,http://wh.lianjia.com/ershoufang/104100309733.html
13,华锦花园3室2厅198万,2017-01-15,华锦花园,洪山,新南湖,, 一至二环,198,15675,126.32,2002年建/板楼,3室2厅,低楼层/共7层,南,其他,http://wh.lianjia.com/ershoufang/104100309705.html
14,中等装修小三房南北通透双阳台采光好两证满五年,2017-01-15,百步亭花园世博园,江岸,百步亭,, 二至三环,165,18957,87.04,2011年建/板楼,3室1厅,高楼层/共8层,南北,其他,http://wh.lianjia.com/ershoufang/104100309620.html
15,南北通透公摊小产证满五产权清晰诚心出售,2017-01-15,三鸿家园,洪山,新南湖,, 一至二环,140,15910,88,2003年建/板楼,2室2厅,低楼层/共8层,南北,简装,http://wh.lianjia.com/ershoufang/104100309538.html
16,古田四路小户型标准1居采光充足诚心出售,2017-01-15,古田四路19号,硚口,古田,, 二至三环,71,14976,47.41,1994年建/板楼,1室1厅,高楼层/共7层,南,其他,http://wh.lianjia.com/ershoufang/104100309507.html
17,万锦江城3室2厅255万,2017-01-14,万锦江城,江岸,百步亭,, 二至三环,255,19116,133.4,2013年建/板楼,3室2厅,中楼层/共33层,南北,精装,http://wh.lianjia.com/ershoufang/104100309326.html
18,卧龙丽景湾三期2室2厅135万,2017-01-14,卧龙丽景湾三期,东西湖,金银湖,, 三至四环,135,14608,92.42,2013年建/板楼,2室2厅,低楼层/共32层,南,其他,http://wh.lianjia.com/ershoufang/104100309255.html
19,保利公馆毛坯三房160万采光好视野好随时看房,2017-01-14,保利中央公馆,洪山,新南湖,, 二至三环,160,16389,97.63,2011年建/板楼,3室2厅,高楼层/共34层,西南,其他,http://wh.lianjia.com/ershoufang/104100309240.html
20,东立国际2室1厅155万,2017-01-14,东立国际,江岸,二七,, 一至二环,155,21106,73.44,2007年建/塔楼,2室1厅,中楼层/共18层,南北,其他,http://wh.lianjia.com/ershoufang/104100309229.html
21,两证满二，高楼层，视野好，毛坯随心,2017-01-14,银湖翡翠一期,东西湖,金银湖,, ,135,14977,90.14,2014年建/板楼,2室2厅,高楼层/共16层,南北,其他,http://wh.lianjia.com/ershoufang/104100309212.html
22,汉街壹号公馆南北通透户型法式装修带水暖空调,2017-01-14,汉街壹号公馆,洪山,沙湖,, 一至二环,560,31819,176,2015年建/板楼,3室2厅,中楼层/共46层,南北,其他,http://wh.lianjia.com/ershoufang/104100309187.html
23,万科精装两房自住保养朝南向楼层采光好可带车位,2017-01-14,万科红郡,江夏,光谷南,, 三至四环,160,21867,73.17,2012年建/板楼,2室1厅,高楼层/共32层,南,其他,http://wh.lianjia.com/ershoufang/104100309177.html
24,田园三村1号2室1厅70万,2017-01-14,田园三村1号,江岸,堤角,, ,70,10952,63.92,未知年建/板楼,2室1厅,高楼层/共6层,南,其他,http://wh.lianjia.com/ershoufang/104100309161.html
25,万科高尔夫城市花园4室2厅320万,2017-01-14,万科高尔夫城市花园,东西湖,金银湖,, 三至四环,320,17978,178,2012年建/板楼,4室2厅,中楼层/共27层,南北,其他,http://wh.lianjia.com/ershoufang/104100309086.html
